"trial","ref_position","var_area","response","correct","rt"
1,"R",9.33542361645959,"L",TRUE,0.815000057220459
2,"L",13.0112173028756,"R",TRUE,0.801000118255615
3,"R",13.0003885366023,"L",TRUE,1.01999998092651
4,"R",12.5005197485443,"L",TRUE,1.26200008392334
5,"R",10.5548368424643,"L",TRUE,0.906000137329102
6,"R",14.0089986175299,"L",TRUE,1.01699995994568
7,"L",11.7302485564724,"R",TRUE,1.32499980926514
8,"R",8.6684376175981,"L",FALSE,1.01899981498718
9,"R",9.76279375865124,"L",TRUE,1.01300001144409
10,"L",11.1374335691798,"R",TRUE,1.20700001716614
11,"R",11.7486109333113,"L",TRUE,0.917999982833862
12,"R",8.90195394237526,"L",FALSE,1.21399998664856
13,"R",12.787186550675,"L",TRUE,1.64100003242493
14,"L",9.49148542713374,"R",TRUE,1.72900009155273
15,"R",8.20636554970406,"R",TRUE,1.63899993896484
16,"R",11.8590985098854,"L",TRUE,0.924999952316284
17,"L",8.47789599071257,"L",TRUE,1.53799986839294
18,"L",8.97058549476787,"R",FALSE,1.11899995803833
19,"L",14.1473581539467,"R",TRUE,1.01399993896484
20,"L",9.68911070213653,"L",FALSE,1.64100003242493
21,"L",10.8069874884095,"R",TRUE,1.21000003814697
22,"L",9.68020405434072,"R",TRUE,1.40400004386902
23,"R",13.7986833183095,"R",FALSE,1.00500011444092
24,"R",10.9268117377069,"L",TRUE,1.12800002098083
